proteome mcrA_gene hsp70_genes
proteome_01.fasta 0 4
proteome_02.fasta 0 2
proteome_03.fasta 1 3
proteome_04.fasta 0 4
proteome_05.fasta 1 2
proteome_06.fasta 0 0
proteome_07.fasta 1 2
proteome_08.fasta 0 5
proteome_09.fasta 0 1
proteome_10.fasta 0 3
proteome_11.fasta 0 6
proteome_12.fasta 0 6
proteome_13.fasta 0 3
proteome_14.fasta 0 1
proteome_15.fasta 1 1
proteome_16.fasta 1 1
proteome_17.fasta 0 3
proteome_18.fasta 0 8
proteome_19.fasta 2 1
proteome_20.fasta 0 3
proteome_21.fasta 0 5
proteome_22.fasta 0 9
proteome_23.fasta 2 2
proteome_24.fasta 1 2
proteome_25.fasta 0 5
proteome_26.fasta 0 1
proteome_27.fasta 0 1
proteome_28.fasta 0 1
proteome_29.fasta 1 0
proteome_30.fasta 0 1
proteome_31.fasta 0 7
proteome_32.fasta 0 4
proteome_33.fasta 0 0
proteome_34.fasta 0 1
proteome_35.fasta 0 1
proteome_36.fasta 0 3
proteome_37.fasta 0 1
proteome_38.fasta 1 1
proteome_39.fasta 1 1
proteome_40.fasta 0 2
proteome_41.fasta 0 1
proteome_42.fasta 1 3
proteome_43.fasta 0 3
proteome_44.fasta 1 1
proteome_45.fasta 1 3
proteome_46.fasta 0 2
proteome_47.fasta 0 1
proteome_48.fasta 1 1
proteome_49.fasta 0 3
proteome_50.fasta 1 3
